mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012085723876953124,0.0014658989573316712,0.007271575927734375,0.000606341457978924,5,4,3,gini,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 3, 'criterion': 'gini'}",0.9340659340659341,0.9010989010989011,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.9274725274725275,0.013186813186813183,26
0.017198467254638673,0.0003108680453399667,0.006281423568725586,0.001666470311734653,2,4,8,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 8, 'criterion': 'entropy'}",0.967032967032967,0.9010989010989011,0.9340659340659341,0.9340659340659341,0.9230769230769231,0.9318681318681319,0.0213084828897421,14
0.013495779037475586,0.0014314701571367396,0.003060150146484375,0.00016361605230275132,2,1,8,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 8, 'criterion': 'gini'}",0.9230769230769231,0.8901098901098901,0.9340659340659341,0.9010989010989011,0.9340659340659341,0.9164835164835164,0.017855029460738393,48
0.009055757522583007,0.001235507166542446,0.003091573715209961,0.0002160525958530779,5,1,7,gini,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 7, 'criterion': 'gini'}",0.9230769230769231,0.9010989010989011,0.967032967032967,0.8901098901098901,0.9230769230769231,0.9208791208791209,0.026373626373626387,45
0.008608055114746094,0.00045064132326784,0.0031289100646972657,0.00016535442131892765,2,2,10,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'entropy'}",0.9340659340659341,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.9120879120879121,0.9318681318681319,0.014578570507056717,14
0.007314300537109375,0.000184855541747605,0.0028766632080078126,5.171267653142184e-05,5,4,7,gini,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 7, 'criterion': 'gini'}",0.9230769230769231,0.9120879120879121,0.9230769230769231,0.9560439560439561,0.9010989010989011,0.9230769230769231,0.01838813245129838,33
0.007914495468139649,0.0003267626054580826,0.003019905090332031,0.0001730414125180969,10,4,3,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 3, 'criterion': 'entropy'}",0.978021978021978,0.9010989010989011,0.945054945054945,0.945054945054945,0.9230769230769231,0.9384615384615385,0.025630557779539757,8
0.007324361801147461,0.00023719855005064822,0.003005313873291016,0.0001869721851172153,5,2,5,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.9560439560439561,0.945054945054945,0.9120879120879121,0.9252747252747253,0.021308482889742117,29
0.007158994674682617,9.464502908163853e-05,0.0030382156372070314,0.00016521354052714067,2,4,7,gini,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 7, 'criterion': 'gini'}",0.9230769230769231,0.9120879120879121,0.9230769230769231,0.9560439560439561,0.9010989010989011,0.9230769230769231,0.01838813245129838,33
0.006123590469360352,0.0001470939765560847,0.002887439727783203,4.4522497655242954e-05,2,2,3,gini,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 3, 'criterion': 'gini'}",0.9340659340659341,0.9010989010989011,0.945054945054945,0.9340659340659341,0.9340659340659341,0.9296703296703297,0.014906219743132446,24
0.00701436996459961,0.00020849186594758737,0.0029651165008544923,0.0001746488983013211,10,4,5,gini,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'gini'}",0.945054945054945,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.9230769230769231,0.9274725274725275,0.011206636293610506,26
0.007903432846069336,0.00041930695502459216,0.0027677536010742186,0.00014218852307156592,10,1,10,gini,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'gini'}",0.9120879120879121,0.9120879120879121,0.9560439560439561,0.9120879120879121,0.9340659340659341,0.9252747252747252,0.017582417582417607,31
